prefecture,name,address,latitude,longitude
広島県,献血ルーム もみじ,広島市中区本通6-11 明治安田生命広島本通ビル1・2階,34.39377384,132.45749164
広島県,献血ルーム ピース,広島市中区紙屋町2-3-20SOCIO SQUARE KAMIYACHO 4階,34.39365438,132.45609173
広島県,献血ルーム ばら,福山市三之丸町9-16 山陽第2ビル4階,34.48829304,133.35865160
山口県,山口県赤十字血液センター,山口市野田字野田172-5,34.18414525,131.48200830
山口県,献血ルームFor you,下関市竹崎町4-4-8 シーモール下関4階,33.94848643,130.92323889
徳島県,献血ルームアミコ,徳島市元町1-24アミコビル3階,34.07373561,134.54893241
香川県,献血ルーム オリーブ,高松市丸亀町13-3高松丸亀町参番街東館3階,34.34445112,134.05037869
愛媛県,大街道献血ルーム,松山市大街道1-4-17,33.83789619,132.76990491
高知県,ハートピアやまもも,高知市本町1-1-3 朝日生命高知本町ビル2階,33.55995345,133.53958353
福岡県,献血ルーム ハッピークロス イムズ,福岡市中央区天神1-7-11 イムズ8階,33.58989897,130.40015415
福岡県,献血ルーム キャナルシティ,福岡市博多区住吉1-2-25 キャナルシティ ビジネスセンタービル1階,33.58950470,130.41174506
福岡県,献血ルーム おっしょい博多,福岡市博多区博多駅中央街2-1 博多バスターミナル8階,33.59156296,130.41995571
福岡県,献血ルーム 魚町銀天街,北九州市小倉北区魚町1-3-3 白樺ビル,33.88520891,130.88041507
福岡県,献血ルーム くろさきクローバー,北九州市八幡西区西曲里町3-1 イオンタウン黒崎1階,33.85978440,130.76025405
佐賀県,献血プラザさが,佐賀市八丁畷町10-20,33.27219720,130.29482150
長崎県,献血ルーム西海,佐世保市上京町6-16 オレンジアベニュービル5階,33.16989658,129.72194271
長崎県,献血ルーム はまのまち,長崎市浜町8-10 多真喜ビル3階,32.74440245,129.87881117
熊本県,日赤プラザ献血ルーム,熊本市東区長嶺南2-1-1,32.80811980,130.76343209
熊本県,下通り献血ルーム,熊本市中央区下通1-8-29三国屋2階,32.80096946,130.70862443
大分県,献血ルーム・わったん,大分市大字玉沢字楠本755-1｢トキハわさだタウン｣3街区2階,33.18852763,131.58105546
宮崎県,献血ルーム カリーノ,宮崎市橘通東4-8-1 カリーノ宮崎3階,31.91698830,131.42518777
沖縄県,くもじ献血ルーム,那覇市久茂地1-3-1久茂地セントラルビル3階,26.21335655,127.67838381
